id,carat,cut,color,clarity,depth,table,x,y,z
2712,0.74,Very Good,H,VS2,59.9,57.0,5.87,5.91,3.53
2713,1.37,Ideal,I,VS2,61.6,55.0,7.13,7.16,4.4
2714,0.3,Premium,H,VVS2,61.0,61.0,4.32,4.3,2.63
2715,0.72,Ideal,E,SI1,62.2,58.0,5.72,5.75,3.57
2716,1.21,Very Good,D,SI2,62.3,59.0,6.74,6.78,4.21
2717,0.9,Premium,G,SI2,61.1,58.0,6.18,6.22,3.79
2718,1.04,Ideal,G,VS2,61.9,57.0,6.48,6.5,4.02
2719,1.0,Fair,I,I1,65.4,57.0,6.28,6.2,4.08
2720,0.38,Premium,H,VVS2,62.0,58.0,4.64,4.62,2.87
2721,1.13,Ideal,D,SI1,61.4,56.0,6.69,6.74,4.12
2722,0.71,Ideal,E,VS2,62.0,55.0,5.7,5.75,3.55
2723,1.23,Ideal,I,SI1,62.1,57.0,6.83,6.88,4.26
2724,1.17,Premium,F,VS2,60.2,58.0,6.88,6.85,4.13
2725,0.3,Ideal,G,VVS1,60.9,56.8,4.34,4.38,2.65
2726,1.01,Very Good,D,SI2,62.9,59.0,6.29,6.37,3.98
2727,0.51,Very Good,I,VS2,63.3,56.0,5.02,5.06,3.19
2728,0.52,Premium,E,VVS1,59.8,58.0,5.27,5.24,3.14
2729,0.31,Good,F,VS2,63.9,56.0,4.32,4.29,2.75
2730,0.33,Ideal,H,IF,61.8,54.0,4.47,4.49,2.77
2731,1.01,Premium,G,SI2,60.1,59.0,6.45,6.39,3.86
2732,1.33,Premium,G,VS1,60.2,60.0,7.12,7.2,4.31
2733,1.01,Good,E,VS2,56.7,61.0,6.71,6.66,3.79
2734,0.28,Ideal,G,VVS1,62.7,55.0,4.16,4.2,2.62
2735,0.62,Ideal,G,VS1,62.0,56.0,5.45,5.49,3.39
2736,1.1,Ideal,F,VS2,62.2,57.0,6.62,6.59,4.11
2737,0.7,Premium,G,SI1,59.9,58.0,5.8,5.68,3.44
2738,0.72,Ideal,F,VS2,61.3,56.0,5.78,5.8,3.55
2739,1.0,Very Good,F,IF,63.2,63.0,6.26,6.24,3.95
2740,0.7,Good,I,VVS2,63.3,55.0,5.61,5.67,3.57
2741,0.92,Very Good,D,SI2,61.6,58.0,6.19,6.22,3.82
2742,0.91,Ideal,E,SI1,61.4,54.0,6.26,6.24,3.84
2743,1.09,Ideal,G,VVS2,61.5,55.0,6.66,6.61,4.08
2744,0.47,Ideal,E,SI2,61.5,55.0,4.98,5.04,3.08
2745,1.08,Ideal,F,VS2,61.9,55.0,6.58,6.64,4.09
2746,0.32,Premium,E,VS2,61.7,58.0,4.41,4.38,2.71
2747,1.01,Good,E,VS2,65.6,55.0,6.16,6.22,4.06
2748,0.24,Very Good,E,VVS2,63.6,54.0,3.96,4.0,2.53
2749,0.79,Very Good,F,VS1,61.0,55.0,6.01,6.03,3.67
2750,0.59,Ideal,D,VS2,60.9,57.0,5.42,5.48,3.32
2751,2.05,Premium,J,VS1,60.1,58.0,8.19,8.25,4.94
2752,0.57,Premium,G,VS2,61.1,59.0,5.39,5.32,3.27
2753,0.73,Premium,F,VS2,62.7,58.0,5.76,5.7,3.59
2754,0.55,Ideal,F,VS2,61.4,57.0,5.26,5.3,3.24
2755,0.41,Good,D,SI1,63.1,57.0,4.68,4.73,2.97
2756,2.03,Premium,J,SI2,60.4,59.0,8.15,8.12,4.91
2757,1.58,Ideal,I,SI2,60.9,59.0,7.48,7.55,4.58
2758,1.03,Premium,H,SI2,62.3,59.0,6.46,6.42,4.01
2759,0.3,Ideal,E,SI1,62.4,57.0,4.27,4.29,2.67
2760,1.08,Ideal,H,SI2,62.1,56.0,6.54,6.6,4.08
2761,0.41,Good,J,VS1,63.2,59.0,4.67,4.7,2.96
2762,0.33,Very Good,E,SI1,63.0,54.0,4.38,4.42,2.77
2763,1.01,Premium,G,SI1,62.9,61.0,6.4,6.36,4.01
2764,0.7,Fair,G,I1,65.3,59.0,5.5,5.47,3.58
2765,0.75,Premium,G,SI2,58.8,60.0,5.99,5.89,3.49
2766,0.65,Ideal,G,VS1,60.6,60.0,5.58,5.61,3.39
2767,0.42,Very Good,D,SI2,60.8,59.0,4.77,4.83,2.92
2768,0.38,Ideal,E,VVS1,62.4,53.2,4.62,4.66,2.9
2769,0.35,Ideal,E,VS2,61.6,56.0,4.52,4.54,2.79
2770,0.32,Good,D,SI1,63.7,55.0,4.38,4.35,2.78
2771,0.7,Good,E,SI1,63.8,57.0,5.59,5.63,3.58
2772,1.51,Good,I,VS2,62.9,57.0,7.23,7.27,4.56
2773,0.52,Ideal,G,VVS2,61.0,56.0,5.18,5.24,3.18
2774,0.54,Premium,H,VS1,62.6,59.0,5.22,5.19,3.26
2775,0.26,Very Good,E,VVS2,63.0,58.0,4.0,4.03,2.53
2776,0.38,Ideal,G,SI1,61.0,57.0,4.66,4.71,2.86
2777,0.31,Very Good,H,VS2,63.0,57.0,4.32,4.34,2.73
2778,1.36,Premium,H,VS2,61.9,58.0,7.09,7.15,4.41
2779,1.12,Premium,F,SI2,60.5,59.0,6.79,6.73,4.09
2780,1.3,Premium,F,VS1,62.0,58.0,6.94,6.9,4.29
2781,1.4,Very Good,J,SI1,63.5,58.0,7.05,7.09,4.49
2782,1.21,Good,H,SI1,63.6,56.0,6.63,6.68,4.23
2783,1.03,Ideal,G,VS1,61.2,57.0,6.5,6.54,3.99
2784,0.37,Ideal,F,VS2,61.1,57.0,4.67,4.63,2.84
2785,0.71,Ideal,D,SI2,62.5,57.0,5.7,5.73,3.57
2786,0.72,Ideal,D,VS1,61.6,56.0,5.73,5.8,3.55
2787,0.75,Very Good,D,SI1,60.7,55.0,5.87,5.92,3.58
2788,1.16,Ideal,G,VS2,61.7,57.0,6.8,6.72,4.17
2789,0.54,Ideal,J,SI2,61.3,58.0,5.24,5.27,3.22
2790,1.72,Ideal,E,I1,62.2,55.0,7.7,7.67,4.78
2791,0.54,Premium,E,SI1,61.6,61.0,5.23,5.2,3.21
2792,0.51,Ideal,D,SI2,61.1,56.0,5.16,5.18,3.16
2793,0.71,Good,F,VS2,63.8,58.0,5.64,5.61,3.59
2794,0.35,Very Good,F,SI2,61.2,55.0,4.56,4.57,2.79
2795,1.02,Ideal,I,I1,61.7,56.0,6.49,6.44,3.99
2796,1.2,Ideal,G,VVS2,61.7,57.0,6.84,6.79,4.2
2797,1.1,Very Good,G,IF,59.8,56.0,6.75,6.82,4.06
2798,0.3,Very Good,H,SI1,62.9,57.0,4.28,4.31,2.7
2799,0.41,Ideal,F,SI1,61.4,57.0,4.76,4.79,2.93
2800,0.31,Ideal,G,VS2,62.4,54.0,4.36,4.39,2.73
2801,0.3,Very Good,G,SI2,63.3,57.0,4.28,4.25,2.7
2802,1.51,Ideal,G,VS2,59.8,60.0,7.45,7.5,4.47
2803,0.73,Ideal,E,SI1,62.8,57.0,5.73,5.74,3.6
2804,1.06,Ideal,H,SI2,62.8,57.0,6.57,6.49,4.1
2805,0.53,Ideal,D,VS2,62.1,55.0,5.17,5.2,3.22
2806,0.63,Ideal,F,IF,60.9,57.0,5.53,5.57,3.38
2807,1.55,Very Good,E,I1,61.6,58.0,7.42,7.52,4.6
2808,1.22,Premium,G,SI1,61.8,58.0,6.88,6.82,4.23
2809,0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18
2810,0.72,Ideal,J,SI1,61.8,54.0,5.76,5.8,3.57
2811,0.9,Very Good,D,SI2,62.5,58.0,6.12,6.16,3.84
2812,0.31,Ideal,E,IF,60.7,56.0,4.36,4.4,2.66
2813,1.18,Ideal,G,SI1,62.5,55.0,6.77,6.74,4.22
2814,0.83,Premium,E,SI1,58.4,59.0,6.22,6.18,3.62
2815,1.47,Premium,J,VS2,61.5,58.0,7.31,7.29,4.49
2816,2.08,Premium,I,VVS1,62.2,58.0,8.22,8.18,5.1
2817,1.09,Very Good,I,SI2,62.5,57.0,6.56,6.58,4.11
2818,0.41,Very Good,G,SI1,60.3,60.0,4.76,4.8,2.88
2819,1.94,Premium,F,SI1,62.6,58.0,7.91,7.87,4.94
2820,0.51,Ideal,E,VS1,61.8,55.0,5.15,5.18,3.19
2821,0.75,Very Good,F,SI1,63.4,58.0,5.75,5.79,3.66
2822,0.51,Very Good,D,SI1,63.5,55.0,5.09,5.08,3.23
2823,0.32,Very Good,J,SI1,63.2,56.0,4.36,4.31,2.74
2824,0.35,Ideal,E,IF,62.2,56.0,4.52,4.51,2.81
2825,0.75,Ideal,H,SI1,61.9,55.0,5.82,5.85,3.61
2826,1.51,Good,F,SI1,64.2,57.0,7.09,7.2,4.59
2827,1.51,Premium,G,VS1,63.0,59.0,7.24,7.19,4.55
2828,1.01,Premium,G,VVS2,61.6,60.0,6.41,6.38,3.94
2829,1.18,Ideal,I,SI1,62.1,56.0,6.79,6.77,4.21
2830,0.3,Premium,H,SI1,62.6,58.0,4.28,4.22,2.66
2831,1.04,Very Good,F,SI1,59.7,59.0,6.67,6.56,3.95
2832,0.58,Premium,G,VS1,61.5,58.0,5.41,5.35,3.31
2833,0.55,Very Good,J,VS2,62.9,54.0,5.23,5.29,3.31
2834,0.3,Ideal,F,VS1,62.6,57.0,4.34,4.29,2.7
2835,0.32,Very Good,I,SI1,63.5,57.0,4.33,4.3,2.74
2836,0.33,Ideal,H,VS2,61.0,55.0,4.49,4.52,2.75
2837,0.32,Ideal,I,VS2,62.2,57.0,4.42,4.39,2.74
2838,1.51,Premium,G,VS1,62.5,58.0,7.27,7.23,4.53
2839,0.3,Ideal,E,VVS1,62.0,57.0,4.29,4.32,2.67
2840,1.08,Premium,H,VS1,59.6,59.0,6.72,6.66,3.99
2841,0.4,Ideal,G,IF,63.1,54.0,4.69,4.73,2.97
2842,0.3,Very Good,G,VS1,61.2,59.0,4.28,4.32,2.63
2843,0.94,Premium,F,SI2,62.3,59.0,6.32,6.23,3.91
2844,0.71,Very Good,H,SI1,61.2,56.0,5.69,5.72,3.49
2845,0.34,Premium,I,VVS1,62.6,58.0,4.45,4.47,2.79
2846,1.05,Ideal,I,SI1,61.0,57.0,6.55,6.62,4.02
2847,1.0,Premium,E,SI1,61.9,60.0,6.37,6.46,3.97
2848,0.72,Ideal,F,SI2,61.7,55.0,5.79,5.75,3.56
2849,0.31,Premium,D,SI1,61.1,57.0,4.36,4.35,2.66
2850,1.51,Ideal,H,SI1,61.3,57.0,7.41,7.34,4.52
2851,0.3,Ideal,F,VS2,62.0,55.0,4.31,4.33,2.68
2852,0.71,Ideal,J,SI1,61.4,56.0,5.75,5.78,3.54
2853,1.75,Very Good,D,SI2,60.7,57.0,7.78,7.83,4.74
2854,0.7,Ideal,H,SI1,62.5,55.0,5.69,5.71,3.56
2855,0.5,Ideal,E,VS2,60.0,57.0,5.15,5.12,3.08
2856,0.35,Premium,G,SI1,60.6,58.0,4.6,4.58,2.78
2857,0.74,Premium,F,SI1,60.7,59.0,5.85,5.82,3.54
2858,0.93,Premium,G,SI2,60.8,59.0,6.35,6.28,3.84
2859,1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05
2860,0.64,Premium,E,SI1,61.3,58.0,5.57,5.53,3.4
2861,2.42,Premium,I,VS1,59.8,59.0,8.8,8.78,5.26
2862,1.04,Very Good,F,IF,63.0,55.0,6.36,6.53,4.06
2863,1.51,Ideal,I,VS2,62.9,57.0,7.27,7.23,4.56
2864,1.2,Good,H,VS2,62.6,56.0,6.73,6.76,4.22
2865,0.43,Ideal,I,IF,62.0,55.0,4.85,4.83,3.0
2866,0.46,Ideal,I,VS2,62.2,54.7,4.95,4.97,3.09
2867,0.29,Ideal,G,IF,62.0,56.0,4.23,4.27,2.63
2868,1.04,Ideal,D,SI1,61.9,57.0,6.51,6.54,4.04
2869,0.3,Premium,F,VS2,61.5,60.0,4.29,4.26,2.63
2870,0.27,Very Good,E,VS1,62.3,54.0,4.17,4.21,2.61
2871,0.56,Ideal,D,VS2,62.7,57.0,5.25,5.28,3.3
2872,1.04,Premium,H,SI1,62.1,56.0,6.48,6.41,4.01
2873,0.63,Premium,F,SI1,60.9,56.0,5.58,5.56,3.39
2874,0.51,Premium,E,VS2,61.3,58.0,5.15,5.13,3.15
2875,2.0,Good,E,SI2,57.3,65.0,8.26,8.22,4.72
2876,0.91,Ideal,G,SI1,62.0,56.0,6.19,6.22,3.85
2877,1.74,Premium,H,SI2,62.1,59.0,7.78,7.65,4.79
2878,1.03,Very Good,G,VS2,62.2,57.0,6.43,6.46,4.01
2879,0.32,Ideal,E,VS2,62.1,55.0,4.39,4.43,2.74
2880,0.51,Ideal,G,VS1,62.3,53.5,5.09,5.14,3.19
2881,0.73,Ideal,I,VS2,61.6,54.0,5.81,5.84,3.59
2882,0.41,Premium,E,VS1,59.9,58.0,4.83,4.88,2.91
2883,1.59,Premium,H,SI1,61.0,58.0,7.58,7.51,4.6
2884,1.6,Premium,I,VS2,60.2,58.0,7.63,7.56,4.57
2885,0.38,Premium,H,VS2,60.5,59.0,4.66,4.69,2.83
2886,0.9,Good,I,VS1,63.3,59.0,6.06,6.1,3.85
2887,1.12,Ideal,I,SI1,62.0,56.0,6.69,6.64,4.13
2888,1.04,Ideal,I,VS2,61.8,55.0,6.5,6.54,4.03
2889,0.3,Ideal,D,VS2,61.8,55.0,4.34,4.3,2.67
2890,0.42,Premium,D,SI2,60.1,58.0,4.88,4.83,2.92
2891,0.7,Very Good,I,VS1,62.7,58.0,5.61,5.65,3.53
2892,0.27,Ideal,G,VVS2,60.8,57.0,4.18,4.2,2.54
2893,1.5,Very Good,I,VS2,60.5,60.0,7.31,7.4,4.45
2894,0.32,Ideal,E,VS1,61.9,56.0,4.41,4.38,2.72
2895,0.7,Ideal,F,VS1,61.5,55.0,5.73,5.75,3.53
2896,1.22,Very Good,J,SI2,62.6,58.0,6.78,6.84,4.26
2897,0.47,Ideal,E,VS1,61.8,53.0,4.99,5.04,3.1
2898,0.71,Good,I,SI1,60.0,64.0,5.79,5.71,3.45
2899,1.2,Ideal,E,SI2,61.1,55.0,6.9,6.87,4.21
2900,0.42,Ideal,D,VVS2,61.4,56.0,4.82,4.85,2.97
2901,1.2,Premium,D,VVS1,62.1,59.0,0.0,0.0,0.0
2902,0.5,Premium,H,VVS1,62.5,58.0,5.1,5.05,3.17
2903,1.64,Premium,G,VS2,62.4,58.0,7.49,7.52,4.68
2904,1.0,Ideal,E,SI1,60.1,62.0,6.46,6.48,3.89
2905,1.0,Good,H,SI2,63.7,58.0,6.28,6.15,3.96
2906,0.42,Premium,G,SI1,62.7,59.0,4.75,4.72,2.97
2907,1.03,Ideal,J,SI1,61.9,56.0,6.45,6.5,4.01
2908,0.71,Very Good,H,SI1,63.5,57.0,5.67,5.63,3.59
2909,0.4,Good,D,SI1,63.1,57.0,4.69,4.73,2.97
2910,1.01,Fair,F,VS2,64.8,56.0,6.3,6.25,4.07
2911,0.26,Ideal,F,VVS2,61.6,57.0,4.1,4.08,2.52
2912,1.2,Premium,G,VS1,62.9,59.0,6.75,6.69,4.23
2913,2.22,Good,I,SI2,63.2,57.0,8.23,8.28,5.22
2914,0.31,Ideal,E,SI1,62.8,57.0,4.34,4.32,2.72
2915,0.25,Very Good,E,VS2,63.3,56.0,4.01,4.05,2.55
2916,1.5,Good,I,SI1,61.1,63.0,7.27,7.34,4.46
2917,0.31,Good,G,VS1,63.1,59.0,4.27,4.29,2.7
2918,0.41,Premium,F,VVS2,60.1,59.0,4.82,4.79,2.89
2919,0.72,Ideal,I,VS1,62.1,55.0,5.73,5.76,3.56
2920,0.4,Ideal,F,SI1,62.0,54.0,4.76,4.79,2.96
2921,0.34,Ideal,F,VS2,62.1,56.0,4.51,4.47,2.79
2922,0.31,Ideal,E,VS1,60.1,55.0,4.42,4.53,2.69
2923,0.5,Ideal,G,VS2,62.0,56.0,5.09,5.11,3.16
2924,1.51,Premium,E,SI1,63.0,58.0,7.4,7.27,4.62
2925,1.2,Fair,G,I1,64.4,55.0,6.77,6.61,4.31
2926,0.3,Ideal,G,VVS2,62.4,55.0,4.32,4.34,2.7
2927,1.06,Premium,E,SI1,59.2,60.0,6.64,6.6,3.92
2928,0.9,Ideal,F,VS2,62.3,57.0,6.18,6.21,3.86
2929,0.92,Premium,E,VS1,60.9,61.0,6.25,6.22,3.8
2930,0.42,Very Good,G,SI1,62.0,54.0,4.8,4.82,2.98
2931,1.2,Ideal,E,VVS1,60.1,61.0,6.83,6.91,4.13
2932,0.72,Very Good,E,VS1,63.1,56.0,5.7,5.65,3.58
2933,1.1,Very Good,G,VVS1,60.4,57.0,6.7,6.77,4.07
2934,1.25,Very Good,E,VS2,61.6,57.0,6.9,6.94,4.26
2935,0.8,Ideal,F,SI2,61.8,56.0,5.97,6.0,3.7
2936,0.37,Ideal,G,VS2,62.2,57.0,4.64,4.59,2.87
2937,1.06,Premium,G,SI1,59.6,58.0,6.67,6.73,3.99
2938,0.51,Premium,D,SI1,61.6,58.0,5.14,5.12,3.16
2939,1.01,Fair,G,SI2,58.7,67.0,6.52,6.56,3.84
2940,0.34,Ideal,E,VS1,59.1,57.0,4.55,4.58,2.7
2941,1.03,Premium,H,SI2,60.7,59.0,6.48,6.54,3.95
2942,1.51,Ideal,I,VS2,61.6,54.0,7.38,7.42,4.57
2943,2.03,Fair,F,I1,65.6,56.0,7.89,7.86,5.16
2944,0.31,Premium,D,VVS1,61.1,56.0,4.42,4.35,2.68
2945,0.51,Premium,D,SI1,59.9,61.0,5.18,5.14,3.09
2946,0.41,Ideal,H,VS1,62.7,56.0,4.73,4.77,2.98
2947,0.23,Very Good,E,VVS1,61.4,59.0,3.93,3.99,2.43
2948,1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84
2949,0.52,Good,D,SI1,63.7,55.0,5.12,5.09,3.25
2950,0.92,Ideal,E,SI2,62.1,57.0,6.2,6.26,3.87
2951,0.78,Good,G,SI1,63.9,64.0,5.82,5.7,3.68
2952,1.28,Good,G,SI1,57.6,62.0,7.17,7.13,4.12
2953,0.84,Ideal,H,SI2,63.0,56.0,6.04,6.02,3.8
2954,0.36,Premium,G,SI1,61.8,59.0,4.55,4.57,2.82
2955,0.32,Good,I,VS2,63.4,55.0,4.33,4.37,2.76
2956,1.06,Ideal,G,SI2,62.2,55.0,6.53,6.56,4.07
2957,0.5,Good,E,SI1,64.2,59.0,5.03,4.97,3.21
2958,1.47,Very Good,J,VS2,62.5,59.0,7.18,7.23,4.5
2959,0.53,Ideal,G,VS2,61.4,55.0,5.23,5.26,3.22
2960,0.3,Premium,E,VS2,62.4,59.0,4.26,4.3,2.67
2961,0.36,Ideal,E,VS1,62.0,56.0,4.59,4.57,2.84
2962,1.07,Ideal,E,SI2,61.4,57.0,6.62,6.57,4.05
2963,0.32,Ideal,I,VS2,60.3,56.0,4.44,4.45,2.68
2964,1.51,Very Good,E,SI2,63.1,58.0,7.31,7.28,4.6
2965,1.24,Ideal,E,VS2,62.9,56.0,6.84,6.79,4.29
2966,0.91,Very Good,D,SI1,63.1,61.0,6.16,6.1,3.87
2967,0.31,Very Good,G,VS2,63.5,58.0,4.29,4.22,2.7
2968,0.32,Premium,D,SI1,62.2,60.0,4.34,4.37,2.71
2969,1.23,Premium,H,SI2,62.0,59.0,6.92,6.88,4.28
2970,0.71,Very Good,H,SI1,62.5,60.0,5.68,5.75,3.57
2971,1.0,Premium,D,VS2,60.8,61.0,6.41,6.39,3.89
2972,1.53,Ideal,I,VS1,62.8,55.0,7.4,7.35,4.63
2973,0.62,Premium,E,SI2,60.7,58.0,5.53,5.51,3.35
2974,0.54,Premium,E,VS2,59.2,58.0,5.32,5.35,3.16
2975,0.32,Ideal,H,IF,60.9,56.0,4.41,4.42,2.69
2976,0.56,Ideal,G,VVS1,62.0,56.0,5.28,5.3,3.28
2977,0.32,Ideal,F,VS1,61.5,56.0,4.4,4.44,2.72
2978,0.31,Ideal,F,SI1,60.5,57.0,4.4,4.43,2.67
2979,0.3,Premium,D,VS1,61.9,58.0,4.28,4.32,2.66
2980,0.3,Ideal,D,VVS2,61.6,56.0,4.32,4.35,2.67
2981,1.1,Ideal,G,VS2,62.3,56.0,6.63,6.59,4.12
2982,0.3,Ideal,F,IF,62.2,56.0,4.31,4.34,2.69
2983,0.57,Ideal,H,VS2,60.2,59.0,5.35,5.38,3.23
2984,0.41,Ideal,J,VS2,61.8,55.0,4.78,4.81,2.96
2985,0.52,Fair,F,IF,64.6,58.0,5.04,5.17,3.3
2986,0.53,Ideal,D,VS2,61.4,55.0,5.24,5.21,3.21
2987,0.87,Ideal,H,VS2,62.3,57.0,6.08,6.12,3.8
2988,1.23,Ideal,I,SI2,62.1,56.0,6.88,6.84,4.26
2989,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77
2990,1.51,Very Good,G,SI2,60.5,54.6,7.36,7.4,4.46
2991,1.2,Ideal,I,SI2,61.1,57.0,6.86,6.89,4.2
2992,0.38,Very Good,F,VVS1,61.7,56.0,4.63,4.66,2.86
2993,1.0,Ideal,F,VS2,61.7,58.0,6.37,6.43,3.95
2994,0.57,Ideal,D,SI2,61.9,56.0,5.3,5.34,3.3
2995,1.09,Ideal,D,SI1,62.7,56.0,6.55,6.59,4.12
2996,0.51,Premium,E,SI2,61.7,58.0,5.14,5.07,3.15
2997,1.3,Ideal,G,IF,62.3,56.0,6.95,6.99,4.34
2998,1.51,Very Good,H,SI2,60.8,56.0,7.41,7.46,4.52
2999,1.51,Good,H,SI1,62.2,61.0,7.25,7.32,4.53
3000,0.3,Very Good,H,SI1,63.0,54.0,4.27,4.3,2.7
3001,1.14,Premium,H,VS2,61.3,59.0,6.76,6.72,4.13
3002,0.55,Ideal,E,SI1,60.8,56.0,5.31,5.34,3.24
3003,0.51,Ideal,D,VVS2,61.7,56.0,5.14,5.16,3.18
3004,0.39,Very Good,G,SI1,61.7,59.4,4.65,4.7,2.88
3005,0.73,Premium,F,VS2,59.9,58.0,5.84,5.87,3.51
3006,0.7,Ideal,H,SI2,61.1,57.0,5.73,5.76,3.51
3007,0.5,Very Good,F,VS1,62.6,59.0,5.03,5.06,3.16
3008,0.52,Premium,E,VS2,61.6,59.0,5.14,5.16,3.17
3009,0.41,Good,F,SI1,63.7,58.0,4.71,4.74,3.01
3010,0.71,Fair,D,VS2,56.9,65.0,5.89,5.84,3.34
3011,1.0,Ideal,J,SI2,61.2,56.0,6.49,6.38,3.94
3012,0.41,Premium,G,SI2,61.4,58.0,4.8,4.75,2.93
3013,0.31,Very Good,D,SI1,63.5,57.0,4.32,4.28,2.73
3014,0.7,Premium,G,SI1,62.0,61.0,5.71,5.68,3.53
3015,1.0,Premium,E,VVS1,60.3,54.0,6.59,6.47,3.94
3016,0.53,Ideal,D,SI2,61.4,56.0,5.22,5.24,3.21
3017,1.06,Premium,J,SI2,61.3,60.0,6.52,6.59,4.02
3018,0.53,Premium,G,VS1,62.4,58.0,5.2,5.16,3.23
3019,0.35,Ideal,D,SI1,61.6,55.0,4.56,4.53,2.8
3020,0.95,Premium,G,SI2,62.6,58.0,6.22,6.18,3.88
3021,1.32,Ideal,D,VVS2,59.3,59.0,7.16,7.23,4.27
3022,2.01,Very Good,E,SI1,62.7,57.0,8.03,8.11,5.06
3023,1.48,Very Good,H,SI1,62.5,59.0,7.16,7.23,4.5
3024,0.35,Premium,G,IF,59.1,59.0,4.62,4.59,2.72
3025,1.1,Premium,H,SI1,63.0,58.0,6.6,6.55,4.14
3026,1.05,Ideal,H,SI2,61.2,57.0,6.55,6.62,4.03
3027,1.01,Premium,E,SI1,60.0,59.0,6.53,6.47,3.9
3028,2.01,Good,J,SI1,59.6,61.0,8.08,8.14,4.83
3029,1.31,Premium,I,VS2,61.9,59.0,7.02,6.98,4.33
3030,0.5,Ideal,E,SI1,62.2,57.0,5.05,5.08,3.15
3031,0.3,Ideal,E,VS2,61.0,56.0,4.33,4.36,2.65
3032,1.18,Fair,F,SI2,55.9,64.0,7.15,7.01,3.95
3033,0.37,Ideal,D,VS2,61.1,54.0,4.63,4.66,2.84
3034,0.33,Premium,H,VS1,62.1,59.0,4.46,4.43,2.76
3035,1.68,Ideal,H,SI1,61.9,56.0,7.63,7.72,4.75
3036,0.38,Ideal,F,IF,62.2,55.0,4.66,4.64,2.89
3037,0.31,Premium,H,VVS1,61.8,58.0,4.34,4.3,2.67
3038,1.32,Very Good,I,VS1,63.5,58.0,6.89,6.94,4.39
3039,1.76,Very Good,H,SI1,63.1,59.0,7.69,7.59,4.82
3040,0.7,Very Good,H,VVS2,58.8,58.0,5.88,5.78,3.43
3041,1.06,Premium,D,SI2,60.9,60.0,6.55,6.52,3.98
3042,1.04,Premium,G,SI1,61.4,57.0,6.56,6.5,4.01
3043,0.34,Premium,E,VVS1,61.7,58.0,4.48,4.43,2.75
3044,1.51,Ideal,H,SI1,61.9,57.0,7.37,7.32,4.55
3045,1.02,Very Good,F,VS2,61.8,57.0,6.4,6.44,3.97
3046,0.72,Very Good,I,SI1,59.8,58.0,5.84,5.87,3.5
3047,1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93
3048,0.32,Ideal,E,VVS1,61.9,55.0,4.38,4.41,2.72
3049,0.44,Good,J,VS1,63.2,57.0,4.82,4.86,3.06
3050,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09
3051,1.5,Very Good,F,VS1,60.5,55.0,7.39,7.48,4.5
3052,0.7,Ideal,I,VVS2,62.1,58.0,5.63,5.68,3.51
3053,0.31,Good,E,SI1,63.5,55.0,4.31,4.35,2.75
3054,0.72,Ideal,F,VS2,59.5,57.0,5.91,5.86,3.5
3055,1.07,Premium,F,SI2,62.4,57.0,6.58,6.53,4.09
3056,1.02,Fair,H,VS2,64.6,61.0,6.32,6.24,4.06
3057,0.31,Ideal,E,VVS2,60.9,56.0,4.39,4.41,2.68
3058,0.9,Very Good,E,SI1,62.1,59.0,6.13,6.17,3.82
3059,0.66,Ideal,G,VVS1,61.5,56.0,5.61,5.58,3.44
3060,0.43,Good,H,VVS1,61.2,61.0,4.84,4.9,2.98
3061,0.41,Premium,E,VS1,60.1,58.0,4.84,4.81,2.9
3062,0.55,Very Good,E,VS2,62.1,60.0,5.19,5.24,3.24
3063,0.59,Ideal,J,VS2,60.8,57.0,5.47,5.42,3.31
3064,0.77,Ideal,F,SI2,62.0,56.0,5.92,5.86,3.65
3065,1.01,Very Good,G,SI1,62.7,58.0,6.35,6.4,4.0
3066,1.51,Premium,H,SI2,61.4,60.0,7.37,7.31,4.51
3067,1.06,Premium,G,SI1,62.2,57.0,6.53,6.47,4.04
3068,0.38,Premium,D,SI2,62.1,55.0,4.65,4.62,2.88
3069,0.34,Premium,F,VS1,60.0,59.0,4.59,4.55,2.74
3070,0.7,Premium,G,IF,62.2,58.0,5.63,5.69,3.52
3071,0.41,Ideal,F,SI1,61.1,56.0,4.79,4.83,2.94
3072,0.23,Very Good,F,VVS2,61.0,59.0,3.93,3.97,2.41
3073,0.41,Premium,G,VS2,61.8,59.0,4.76,4.72,2.93
3074,0.34,Premium,E,SI2,61.5,58.0,4.52,4.49,2.77
3075,0.73,Premium,D,SI2,61.0,61.0,5.81,5.74,3.52
3076,0.71,Ideal,E,SI2,62.3,57.0,5.66,5.74,3.55
3077,0.52,Ideal,D,VS2,61.6,55.0,5.2,5.15,3.19
3078,0.23,Very Good,E,VVS1,62.3,58.0,3.88,3.99,2.45
3079,1.21,Ideal,G,VS1,62.6,56.0,6.81,6.77,4.25
3080,0.32,Very Good,E,SI1,63.1,54.0,4.41,4.37,2.77
3081,0.45,Fair,F,VS2,64.2,58.0,4.9,4.75,3.1
3082,1.57,Premium,I,VS2,62.6,58.0,7.4,7.36,4.62
3083,1.56,Premium,I,VVS2,60.5,58.0,7.53,7.45,4.53
